Filename,Oz .o size,Oz RThr,.o < Oz,Num for min size,Pass sequence,Model .o size,Model RThr,Complete .o,Complete RThr,cp_oz,cp_model,cmp_cp_model,binary_size_cmp
ex6_3,10800,621,,15,,9968,620,9968,620,30.4,34.1,28.5,9632
ex6_4,12712,739,,15,,11712,738,11712,738,33.8,36.5,30.7,11200
ex6_5,14608,857,,15,,13536,856,13536,856,34.9,38.2,31.8,12944
ex6_6,16520,975,,15,,15240,974,15240,974,37.5,40.1,34.7,14528
ex6_7,18416,1093,,15,,16928,1093,16928,1093,39.1,41.7,36.4,16048
ex7_3,10800,621,,15,,9936,620,9936,620,31.7,35.4,29.8,9600
ex7_4,12712,739,,15,,11616,738,11616,738,34.2,35.8,31.1,11104
ex7_5,14608,857,,15,,13504,856,13504,856,36.2,35.1,33.5,12896
ex7_6,16520,975,,15,,15160,974,15160,974,38.6,40.4,36.0,14464
ex7_7,18416,1093,,15,,16848,1093,16848,1093,41.1,36.7,38.1,16000
ex8_3,28272,1837,,15,,25664,1837,25664,1837,51.4,46.8,46.8,24352
ex8_4,43824,2885,,15,,39792,2885,39792,2885,64.0,54.0,57.7,38384
ex8_5,61848,4075,,15,,55840,4075,55840,4075,77.0,70.1,71.6,53984
ex8_6,80360,5292,,15,,72928,5292,72928,5292,91.1,82.8,83.9,70048
ex8_7,99048,6509,,15,,89792,6509,89792,6509,105.7,93.8,96.1,86240
ex9_3,26928,1907,,15,,24496,1907,24496,1907,50.2,47.5,46.2,23488
ex9_4,44472,3164,,15,,39936,3164,39936,3164,63.7,58.9,59.2,38496
ex9_5,62096,4421,,15,,55896,4421,55896,4421,76.8,71.3,70.2,53856
ex9_6,79624,5678,,15,,71872,5678,71872,5678,90.2,83.4,83.0,69696
ex9_7,97488,6935,,15,,87952,6935,87952,6935,103.5,97.0,95.9,85632
